Business Name,Email,Stars,Reviews,Phone,Website,Google Maps URL,Address
"Atlanta Plumbing & Drain","","5","107","(678) 946-2482","https://www.atlplumbingcompany.com/?utm_source=omg-gbp&utm_medium=webclick","https://maps.google.com/?cid=7159624924547370068&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","100 Hartsfield Center Pkwy #500, Atlanta, GA 30354, USA"
"Hotter Water Plumbing & Leak Detection","info@ortegaplumbingnm.com","4.9","126","(706) 471-2713","https://www.hotterwater.com/?utm_source=google&utm_medium=search_engine&utm_campaign=gmb","https://maps.google.com/?cid=1850178360773151044&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1269 Pryor Rd SW Ste No. 17, Atlanta, GA 30315, USA"
"ATLANTA PLUMBERS","","5","12","(404) 880-0303","http://atlantaplumber.com/","https://maps.google.com/?cid=15594765171425188872&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","260 Peachtree St, Atlanta, GA 30303, USA"
"Benjamin Franklin Plumbing of Savannah Low Country","","4.9","67","(912) 250-4321","https://www.benjaminfranklinplumbing.com/low-country/?utm_source=organic&utm_medium=GBP&utm_campaign=gbp_main","https://maps.google.com/?cid=17514464474297880619&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7307 Hodgson Memorial Dr Ste B, Savannah, GA 31406, USA"
"Putts Plumbing","Ptm10176@aol.com","5","44","(912) 798-1791","https://puttsplumbing.org/","https://maps.google.com/?cid=12262170699368284912&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","131 Van Nuys Blvd, Savannah, GA 31419, USA"
"Benjamin Franklin Plumbing of Savannah Metro","","5","16","(912) 388-9997","https://benjaminfranklinplumbing.com/savannah-metro/","https://maps.google.com/?cid=1517926889760478393&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","1744 Old Dean Forest Rd, Pooler, GA 31322, USA"
"Ace’s Plumbing","ace@acesplumbingrepair.com","5","42","(843) 612-8581","https://www.acesplumbingrepair.com/","https://maps.google.com/?cid=4566101646218235331&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","7602 Waters Ave Unit D, Savannah, GA 31406, USA"
"Roto-Rooter Plumbing & Water Cleanup","","4.9","44","(912) 355-1287","https://www.rotorooter.com/richmondhillga/?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=website","https://maps.google.com/?cid=13239605696763123933&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","25 Chandler St, Richmond Hill, GA 31324, USA"
"High Priority Plumbing and Services, Inc.","","4.9","104","(912) 913-5628","https://highpriorityplumbing.com/?utm_source=google&utm_medium=business+prof","https://maps.google.com/?cid=3903237647236516373&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3470 Ocean Hwy, Richmond Hill, GA 31324, USA"
"Dependable Plumbing","","4.5","60","(912) 898-1233","http://www.dependplumb.com/","https://maps.google.com/?cid=8308932767593196029&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","3006 Gibbons St, Savannah, GA 31404, USA"
